commande_id,client_id,date,produit_court,categorie,quantite,prix,total,ville,source
CMD4745,C0001,2026-06-22 22:57:07+00:00,Anti-Double Menton,Soin visage,1.0,9900.0,9900.0,Maroua,Shopify_2026
CMD4744,C0002,2026-06-22 22:38:27+00:00,Anti-Double Menton,Soin visage,1.0,9900.0,9900.0,Douala,Shopify_2026
CMD4743,C0003,2026-06-22 21:09:36+00:00,Anti-Double Menton,Soin visage,1.0,9900.0,9900.0,Douala,Shopify_2026
CMD4742,C0004,2026-06-22 20:28:42+00:00,Anti-Double Menton,Soin visage,1.0,9900.0,9900.0,Douala,Shopify_2026
CMD4741,C0005,2026-06-22 19:28:07+00:00,Anti-Double Menton,Soin visage,1.0,9900.0,9900.0,Bafoussam,Shopify_2026
CMD4740,C0006,2026-06-22 08:01:01+00:00,Anti-Double Menton,Soin visage,1.0,9900.0,9900.0,Garoua,Shopify_2026
CMD4739,C0007,2026-06-22 06:43:17+00:00,Anti-Double Menton,Soin visage,1.0,9900.0,9900.0,Autre,Shopify_2026
CMD4738,C0008,2026-06-21 23:52:57+00:00,Anti-Double Menton,Soin visage,1.0,9900.0,9900.0,Douala,Shopify_2026
CMD4737,C0009,2026-06-21 23:21:52+00:00,Sérum Repousse Pro,Soin cheveux,2.0,10000.0,16500.0,Douala,Shopify_2026
CMD4736,C0010,2026-06-21 23:04:48+00:00,Sérum Repousse Pro,Soin cheveux,1.0,10000.0,10000.0,Autre,Shopify_2026
CMD4735,C0011,2026-06-21 22:05:28+00:00,Anti-Double Menton,Soin visage,1.0,9900.0,9900.0,Douala,Shopify_2026
CMD4734,C0012,2026-06-21 21:58:10+00:00,Anti-Double Menton,Soin visage,1.0,9900.0,9900.0,Kumba,Shopify_2026
CMD4733,C0013,2026-06-21 21:31:38+00:00,Anti-Double Menton,Soin visage,1.0,9900.0,9900.0,Autre,Shopify_2026
CMD4732,C0014,2026-06-21 21:28:53+00:00,Anti-Double Menton,Soin visage,1.0,9900.0,9900.0,Yaoundé,Shopify_2026
CMD4731,C0015,2026-06-21 21:03:53+00:00,Sérum Repousse Pro,Soin cheveux,1.0,10000.0,10000.0,Yaoundé,Shopify_2026
CMD4730,C0014,2026-06-21 20:48:49+00:00,Anti-Double Menton,Soin visage,1.0,9900.0,9900.0,Yaoundé,Shopify_2026
CMD4729,C0016,2026-06-21 20:39:38+00:00,Sérum Repousse Pro,Soin cheveux,1.0,10000.0,10000.0,Yaoundé,Shopify_2026
CMD4728,C0017,2026-06-21 19:47:15+00:00,Sérum Repousse Pro,Soin cheveux,1.0,10000.0,10000.0,Bamenda,Shopify_2026
CMD4727,C0018,2026-06-21 19:26:55+00:00,Sérum Repousse Pro,Soin cheveux,1.0,10000.0,10000.0,Garoua,Shopify_2026
